ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
DCA,"Washington, DC",PBI,"West Palm Beach/Palm Beach, FL"
DCA,"Washington, DC",BNA,"Nashville, TN"
DCA,"Washington, DC",FLL,"Fort Lauderdale, FL"
DCA,"Washington, DC",BOS,"Boston, MA"
DCA,"Washington, DC",RSW,"Fort Myers, FL"
DCA,"Washington, DC",MCO,"Orlando, FL"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",IAH,"Houston, TX"
DCA,"Washington, DC",MSY,"New Orleans, LA"
DCA,"Washington, DC",DEN,"Denver, CO"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",IAH,"Houston, TX"
DCA,"Washington, DC",CRP,"Corpus Christi, TX"
DCA,"Washington, DC",MIA,"Miami, FL"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",TPA,"Tampa, FL"
DCA,"Washington, DC",CLT,"Charlotte, NC"
DCA,"Washington, DC",MSY,"New Orleans, LA"
DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX"
DCA,"Washington, DC",BNA,"Nashville, TN"
DCA,"Washington, DC",LGA,"New York, NY"
DCA,"Washington, DC",BOS,"Boston, MA"
DCA,"Washington, DC",SRQ,"Sarasota/Bradenton, FL"
DCA,"Washington, DC",RSW,"Fort Myers, FL"
DCA,"Washington, DC",PBI,"West Palm Beach/Palm Beach, FL"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",CAE,"Columbia, SC"
DCA,"Washington, DC",TPA,"Tampa, FL"
DCA,"Washington, DC",CLT,"Charlotte, NC"
DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX"
DCA,"Washington, DC",TUL,"Tulsa, OK"
DCA,"Washington, DC",BOS,"Boston, MA"
DCA,"Washington, DC",MCO,"Orlando, FL"
DCA,"Washington, DC",TPA,"Tampa, FL"
DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX"
DCA,"Washington, DC",BOS,"Boston, MA"
DCA,"Washington, DC",PHX,"Phoenix, AZ"
DCA,"Washington, DC",MCO,"Orlando, FL"
DCA,"Washington, DC",MIA,"Miami, FL"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",TPA,"Tampa, FL"
DCA,"Washington, DC",LAS,"Las Vegas, NV"
DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX"
DCA,"Washington, DC",MCO,"Orlando, FL"
DCA,"Washington, DC",PBI,"West Palm Beach/Palm Beach, FL"
DCA,"Washington, DC",TPA,"Tampa, FL"
DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX"
DCA,"Washington, DC",LAX,"Los Angeles, CA"
DCA,"Washington, DC",PHX,"Phoenix, AZ"
DCA,"Washington, DC",MCO,"Orlando, FL"
DCA,"Washington, DC",DTW,"Detroit, MI"
DCA,"Washington, DC",CVG,"Cincinnati, OH"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",CMH,"Columbus, OH"
DCA,"Washington, DC",CAE,"Columbia, SC"
DCA,"Washington, DC",AGS,"Augusta, GA"
DCA,"Washington, DC",MYR,"Myrtle Beach, SC"
DCA,"Washington, DC",RDU,"Raleigh/Durham, NC"
DCA,"Washington, DC",MCI,"Kansas City, MO"
DCA,"Washington, DC",CHS,"Charleston, SC"
DCA,"Washington, DC",XNA,"Fayetteville, AR"
DCA,"Washington, DC",LIT,"Little Rock, AR"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",AGS,"Augusta, GA"
DCA,"Washington, DC",LIT,"Little Rock, AR"
DCA,"Washington, DC",CLE,"Cleveland, OH"
DCA,"Washington, DC",DTW,"Detroit, MI"
DCA,"Washington, DC",CVG,"Cincinnati, OH"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",STL,"St. Louis, MO"
DCA,"Washington, DC",CMH,"Columbus, OH"
DCA,"Washington, DC",EWR,"Newark, NJ"
DCA,"Washington, DC",OMA,"Omaha, NE"
DCA,"Washington, DC",EYW,"Key West, FL"
DCA,"Washington, DC",JAX,"Jacksonville, FL"
DCA,"Washington, DC",SYR,"Syracuse, NY"
DCA,"Washington, DC",MSP,"Minneapolis, MN"
DCA,"Washington, DC",MSN,"Madison, WI"
DCA,"Washington, DC",ORF,"Norfolk, VA"
DCA,"Washington, DC",MEM,"Memphis, TN"
DCA,"Washington, DC",IND,"Indianapolis, IN"
DCA,"Washington, DC",RDU,"Raleigh/Durham, NC"
DCA,"Washington, DC",PVD,"Providence, RI"
DCA,"Washington, DC",MSY,"New Orleans, LA"
DCA,"Washington, DC",PIT,"Pittsburgh, PA"
DCA,"Washington, DC",HHH,"Hilton Head, SC"
DCA,"Washington, DC",LEX,"Lexington, KY"
DCA,"Washington, DC",BDL,"Hartford, CT"
DCA,"Washington, DC",BNA,"Nashville, TN"
DCA,"Washington, DC",LGA,"New York, NY"
DCA,"Washington, DC",TUL,"Tulsa, OK"
DCA,"Washington, DC",ATL,"Atlanta, GA"
DCA,"Washington, DC",BOS,"Boston, MA"
DCA,"Washington, DC",MCI,"Kansas City, MO"
DCA,"Washington, DC",JFK,"New York, NY"
DCA,"Washington, DC",BTV,"Burlington, VT"
DCA,"Washington, DC",CHS,"Charleston, SC"
DCA,"Washington, DC",MHT,"Manchester, NH"
DCA,"Washington, DC",PBI,"West Palm Beach/Palm Beach, FL"
DCA,"Washington, DC",SDF,"Louisville, KY"
DCA,"Washington, DC",DSM,"Des Moines, IA"
DCA,"Washington, DC",OKC,"Oklahoma City, OK"
DCA,"Washington, DC",PWM,"Portland, ME"
DCA,"Washington, DC",SAV,"Savannah, GA"
DCA,"Washington, DC",ALB,"Albany, NY"
DCA,"Washington, DC",JAN,"Jackson/Vicksburg, MS"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",EWR,"Newark, NJ"
DCA,"Washington, DC",ABE,"Allentown/Bethlehem/Easton, PA"
DCA,"Washington, DC",DTW,"Detroit, MI"
DCA,"Washington, DC",MSP,"Minneapolis, MN"
DCA,"Washington, DC",BHM,"Birmingham, AL"
DCA,"Washington, DC",ATL,"Atlanta, GA"
DCA,"Washington, DC",DTW,"Detroit, MI"
DCA,"Washington, DC",SLC,"Salt Lake City, UT"
DCA,"Washington, DC",MSP,"Minneapolis, MN"
DCA,"Washington, DC",ATL,"Atlanta, GA"
DCA,"Washington, DC",DTW,"Detroit, MI"
DCA,"Washington, DC",MSP,"Minneapolis, MN"
DCA,"Washington, DC",MSP,"Minneapolis, MN"
DCA,"Washington, DC",CVG,"Cincinnati, OH"
DCA,"Washington, DC",CVG,"Cincinnati, OH"
DCA,"Washington, DC",RDU,"Raleigh/Durham, NC"
DCA,"Washington, DC",LGA,"New York, NY"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",EWR,"Newark, NJ"
DCA,"Washington, DC",SEA,"Seattle, WA"
DCA,"Washington, DC",PDX,"Portland, OR"
DCA,"Washington, DC",LAX,"Los Angeles, CA"
DCA,"Washington, DC",SFO,"San Francisco, CA"
DCA,"Washington, DC",DEN,"Denver, CO"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",IAH,"Houston, TX"
DCA,"Washington, DC",EWR,"Newark, NJ"
DCA,"Washington, DC",DEN,"Denver, CO"
DCA,"Washington, DC",SFO,"San Francisco, CA"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",IAH,"Houston, TX"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",IAH,"Houston, TX"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",IAH,"Houston, TX"
DCA,"Washington, DC",DEN,"Denver, CO"
DCA,"Washington, DC",OMA,"Omaha, NE"
DCA,"Washington, DC",DAL,"Dallas, TX"
DCA,"Washington, DC",HOU,"Houston, TX"
DCA,"Washington, DC",BNA,"Nashville, TN"
DCA,"Washington, DC",AUS,"Austin, TX"
DCA,"Washington, DC",MDW,"Chicago, IL"
DCA,"Washington, DC",SRQ,"Sarasota/Bradenton, FL"
DCA,"Washington, DC",RSW,"Fort Myers, FL"
DCA,"Washington, DC",MCO,"Orlando, FL"
DCA,"Washington, DC",STL,"St. Louis, MO"
DCA,"Washington, DC",CMH,"Columbus, OH"
DCA,"Washington, DC",OMA,"Omaha, NE"
DCA,"Washington, DC",TPA,"Tampa, FL"
DCA,"Washington, DC",JAX,"Jacksonville, FL"
DCA,"Washington, DC",MKE,"Milwaukee, WI"
DCA,"Washington, DC",DAL,"Dallas, TX"
DCA,"Washington, DC",HOU,"Houston, TX"
DCA,"Washington, DC",PVD,"Providence, RI"
DCA,"Washington, DC",MSY,"New Orleans, LA"
DCA,"Washington, DC",BNA,"Nashville, TN"
DCA,"Washington, DC",ATL,"Atlanta, GA"
DCA,"Washington, DC",FLL,"Fort Lauderdale, FL"
DCA,"Washington, DC",AUS,"Austin, TX"
DCA,"Washington, DC",MDW,"Chicago, IL"
DCA,"Washington, DC",SRQ,"Sarasota/Bradenton, FL"
DCA,"Washington, DC",MCI,"Kansas City, MO"
DCA,"Washington, DC",RSW,"Fort Myers, FL"
DCA,"Washington, DC",MCO,"Orlando, FL"
DCA,"Washington, DC",OKC,"Oklahoma City, OK"
DCA,"Washington, DC",BNA,"Nashville, TN"
DCA,"Washington, DC",RSW,"Fort Myers, FL"
DCA,"Washington, DC",MIA,"Miami, FL"
DCA,"Washington, DC",ORD,"Chicago, IL"
DCA,"Washington, DC",TPA,"Tampa, FL"
DCA,"Washington, DC",LAS,"Las Vegas, NV"
DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX"
DCA,"Washington, DC",AUS,"Austin, TX"
DCA,"Washington, DC",MCO,"Orlando, FL"
DCA,"Washington, DC",CLE,"Cleveland, OH"
DCA,"Washington, DC",DTW,"Detroit, MI"
DCA,"Washington, DC",BUF,"Buffalo, NY"
DCA,"Washington, DC",VPS,"Valparaiso, FL"
DCA,"Washington, DC",STL,"St. Louis, MO"
DCA,"Washington, DC",CAE,"Columbia, SC"
DCA,"Washington, DC",GSO,"Greensboro/High Point, NC"
DCA,"Washington, DC",DAY,"Dayton, OH"
DCA,"Washington, DC",JAX,"Jacksonville, FL"
DCA,"Washington, DC",GSP,"Greer, SC"
DCA,"Washington, DC",ECP,"Panama City, FL"
DCA,"Washington, DC",MSP,"Minneapolis, MN"
DCA,"Washington, DC",CLT,"Charlotte, NC"
DCA,"Washington, DC",MYR,"Myrtle Beach, SC"
DCA,"Washington, DC",ORF,"Norfolk, VA"
DCA,"Washington, DC",BHM,"Birmingham, AL"
DCA,"Washington, DC",RDU,"Raleigh/Durham, NC"
DCA,"Washington, DC",PHL,"Philadelphia, PA"
DCA,"Washington, DC",PVD,"Providence, RI"
DCA,"Washington, DC",BDL,"Hartford, CT"
DCA,"Washington, DC",BNA,"Nashville, TN"
DCA,"Washington, DC",DAB,"Daytona Beach, FL"
DCA,"Washington, DC",HPN,"White Plains, NY"
DCA,"Washington, DC",SRQ,"Sarasota/Bradenton, FL"
DCA,"Washington, DC",MGM,"Montgomery, AL"
DCA,"Washington, DC",PNS,"Pensacola, FL"
DCA,"Washington, DC",BGR,"Bangor, ME"
DCA,"Washington, DC",BTV,"Burlington, VT"
DCA,"Washington, DC",CHS,"Charleston, SC"
DCA,"Washington, DC",MHT,"Manchester, NH"
DCA,"Washington, DC",ROC,"Rochester, NY"
DCA,"Washington, DC",SDF,"Louisville, KY"
DCA,"Washington, DC",GRR,"Grand Rapids, MI"
DCA,"Washington, DC",PWM,"Portland, ME"
DCA,"Washington, DC",MLB,"Melbourne, FL"
DCA,"Washington, DC",ALB,"Albany, NY"
DCA,"Washington, DC",ILM,"Wilmington, NC"
DCA,"Washington, DC",CHA,"Chattanooga, TN"
DCA,"Washington, DC",HSV,"Huntsville, AL"
DCA,"Washington, DC",CLE,"Cleveland, OH"
DCA,"Washington, DC",BUF,"Buffalo, NY"
DCA,"Washington, DC",VPS,"Valparaiso, FL"
DCA,"Washington, DC",STL,"St. Louis, MO"
DCA,"Washington, DC",TYS,"Knoxville, TN"
DCA,"Washington, DC",CMH,"Columbus, OH"
DCA,"Washington, DC",CAE,"Columbia, SC"
DCA,"Washington, DC",GSO,"Greensboro/High Point, NC"
DCA,"Washington, DC",DAY,"Dayton, OH"
DCA,"Washington, DC",CAK,"Akron, OH"
DCA,"Washington, DC",JAX,"Jacksonville, FL"
DCA,"Washington, DC",CRW,"Charleston/Dunbar, WV"
DCA,"Washington, DC",GSP,"Greer, SC"
DCA,"Washington, DC",ECP,"Panama City, FL"
DCA,"Washington, DC",SYR,"Syracuse, NY"
DCA,"Washington, DC",CLT,"Charlotte, NC"
DCA,"Washington, DC",MYR,"Myrtle Beach, SC"
DCA,"Washington, DC",ORF,"Norfolk, VA"
DCA,"Washington, DC",MEM,"Memphis, TN"
DCA,"Washington, DC",BHM,"Birmingham, AL"
DCA,"Washington, DC",PHL,"Philadelphia, PA"
DCA,"Washington, DC",PVD,"Providence, RI"
DCA,"Washington, DC",PIT,"Pittsburgh, PA"
DCA,"Washington, DC",IAD,"Washington, DC"
DCA,"Washington, DC",LAN,"Lansing, MI"
DCA,"Washington, DC",BDL,"Hartford, CT"
DCA,"Washington, DC",TUL,"Tulsa, OK"
DCA,"Washington, DC",TLH,"Tallahassee, FL"
DCA,"Washington, DC",HPN,"White Plains, NY"
DCA,"Washington, DC",SRQ,"Sarasota/Bradenton, FL"
DCA,"Washington, DC",MGM,"Montgomery, AL"
DCA,"Washington, DC",PNS,"Pensacola, FL"
DCA,"Washington, DC",BGR,"Bangor, ME"
DCA,"Washington, DC",BTV,"Burlington, VT"
DCA,"Washington, DC",CHS,"Charleston, SC"
DCA,"Washington, DC",MHT,"Manchester, NH"
DCA,"Washington, DC",ROC,"Rochester, NY"
DCA,"Washington, DC",SDF,"Louisville, KY"
DCA,"Washington, DC",GRR,"Grand Rapids, MI"
DCA,"Washington, DC",PWM,"Portland, ME"
DCA,"Washington, DC",SAV,"Savannah, GA"
DCA,"Washington, DC",ALB,"Albany, NY"
DCA,"Washington, DC",ILM,"Wilmington, NC"
DCA,"Washington, DC",CHA,"Chattanooga, TN"
DCA,"Washington, DC",HSV,"Huntsville, AL"
DCA,"Washington, DC",JAN,"Jackson/Vicksburg, MS"
DDC,"Dodge City, KS",DEN,"Denver, CO"
DDC,"Dodge City, KS",TUL,"Tulsa, OK"
DEC,"Decatur, IL",ORD,"Chicago, IL"
DEN,"Denver, CO",CVG,"Cincinnati, OH"
DEN,"Denver, CO",SLC,"Salt Lake City, UT"
DEN,"Denver, CO",BWI,"Baltimore, MD"
DEN,"Denver, CO",SEA,"Seattle, WA"
DEN,"Denver, CO",LGA,"New York, NY"
DEN,"Denver, CO",JFK,"New York, NY"
DEN,"Denver, CO",ATL,"Atlanta, GA"
DEN,"Denver, CO",JFK,"New York, NY"
DEN,"Denver, CO",MSP,"Minneapolis, MN"
DEN,"Denver, CO",ATL,"Atlanta, GA"
DEN,"Denver, CO",JFK,"New York, NY"
DEN,"Denver, CO",CVG,"Cincinnati, OH"
DEN,"Denver, CO",SLC,"Salt Lake City, UT"
DEN,"Denver, CO",LAS,"Las Vegas, NV"
DEN,"Denver, CO",MSP,"Minneapolis, MN"
DEN,"Denver, CO",SEA,"Seattle, WA"
DEN,"Denver, CO",ATL,"Atlanta, GA"
DEN,"Denver, CO",JFK,"New York, NY"
DEN,"Denver, CO",SLC,"Salt Lake City, UT"
DEN,"Denver, CO",DTW,"Detroit, MI"
DEN,"Denver, CO",MSP,"Minneapolis, MN"
DEN,"Denver, CO",BWI,"Baltimore, MD"
DEN,"Denver, CO",LGA,"New York, NY"
DEN,"Denver, CO",LAX,"Los Angeles, CA"
DEN,"Denver, CO",HDN,"Hayden, CO"
DEN,"Denver, CO",JFK,"New York, NY"
DEN,"Denver, CO",BOS,"Boston, MA"
DEN,"Denver, CO",JFK,"New York, NY"
DEN,"Denver, CO",DTW,"Detroit, MI"
DEN,"Denver, CO",RAP,"Rapid City, SD"
DEN,"Denver, CO",ORD,"Chicago, IL"
DEN,"Denver, CO",STL,"St. Louis, MO"
DEN,"Denver, CO",BOI,"Boise, ID"
DEN,"Denver, CO",ONT,"Ontario, CA"
DEN,"Denver, CO",TYS,"Knoxville, TN"
DEN,"Denver, CO",IAH,"Houston, TX"
DEN,"Denver, CO",ELP,"El Paso, TX"
DEN,"Denver, CO",OMA,"Omaha, NE"
DEN,"Denver, CO",SLC,"Salt Lake City, UT"
DEN,"Denver, CO",FCA,"Kalispell, MT"
DEN,"Denver, CO",GSP,"Greer, SC"
DEN,"Denver, CO",ECP,"Panama City, FL"
DEN,"Denver, CO",EGE,"Eagle, CO"
DEN,"Denver, CO",MSP,"Minneapolis, MN"
DEN,"Denver, CO",JAC,"Jackson, WY"
DEN,"Denver, CO",SEA,"Seattle, WA"
DEN,"Denver, CO",CID,"Cedar Rapids/Iowa City, IA"
DEN,"Denver, CO",GJT,"Grand Junction, CO"
DEN,"Denver, CO",CPR,"Casper, WY"
DEN,"Denver, CO",MAF,"Midland/Odessa, TX"
DEN,"Denver, CO",IDA,"Idaho Falls, ID"
DEN,"Denver, CO",GTF,"Great Falls, MT"
DEN,"Denver, CO",AMA,"Amarillo, TX"
DEN,"Denver, CO",FAR,"Fargo, ND"
DEN,"Denver, CO",MKE,"Milwaukee, WI"
DEN,"Denver, CO",ABQ,"Albuquerque, NM"
DEN,"Denver, CO",MSN,"Madison, WI"
DEN,"Denver, CO",CLT,"Charlotte, NC"
DEN,"Denver, CO",MEM,"Memphis, TN"
DEN,"Denver, CO",BHM,"Birmingham, AL"
DEN,"Denver, CO",MSY,"New Orleans, LA"
DEN,"Denver, CO",BNA,"Nashville, TN"
DEN,"Denver, CO",ACV,"Arcata/Eureka, CA"
DEN,"Denver, CO",ATL,"Atlanta, GA"
DEN,"Denver, CO",LAX,"Los Angeles, CA"
DEN,"Denver, CO",BZN,"Bozeman, MT"
DEN,"Denver, CO",BUR,"Burbank, CA"
DEN,"Denver, CO",AUS,"Austin, TX"
DEN,"Denver, CO",TWF,"Twin Falls, ID"
DEN,"Denver, CO",SUN,"Sun Valley/Hailey/Ketchum, ID"
DEN,"Denver, CO",HDN,"Hayden, CO"
DEN,"Denver, CO",ICT,"Wichita, KS"
DEN,"Denver, CO",PNS,"Pensacola, FL"
DEN,"Denver, CO",SDF,"Louisville, KY"
DEN,"Denver, CO",FSD,"Sioux Falls, SD"
DEN,"Denver, CO",DSM,"Des Moines, IA"
DEN,"Denver, CO",GRR,"Grand Rapids, MI"
DEN,"Denver, CO",OKC,"Oklahoma City, OK"
DEN,"Denver, CO",SAV,"Savannah, GA"
DEN,"Denver, CO",XNA,"Fayetteville, AR"
DEN,"Denver, CO",COS,"Colorado Springs, CO"
DEN,"Denver, CO",DRO,"Durango, CO"
DEN,"Denver, CO",HSV,"Huntsville, AL"
DEN,"Denver, CO",MLI,"Moline, IL"
DEN,"Denver, CO",MTJ,"Montrose/Delta, CO"
DEN,"Denver, CO",VEL,"Vernal, UT"
DEN,"Denver, CO",RAP,"Rapid City, SD"
DEN,"Denver, CO",ALS,"Alamosa, CO"
DEN,"Denver, CO",SBA,"Santa Barbara, CA"
DEN,"Denver, CO",BFL,"Bakersfield, CA"
DEN,"Denver, CO",FAT,"Fresno, CA"
DEN,"Denver, CO",BOI,"Boise, ID"
DEN,"Denver, CO",SMF,"Sacramento, CA"
DEN,"Denver, CO",ELP,"El Paso, TX"
DEN,"Denver, CO",OMA,"Omaha, NE"
DEN,"Denver, CO",LBL,"Liberal, KS"
DEN,"Denver, CO",SLC,"Salt Lake City, UT"
DEN,"Denver, CO",FCA,"Kalispell, MT"
DEN,"Denver, CO",MFR,"Medford, OR"
DEN,"Denver, CO",EUG,"Eugene, OR"
DEN,"Denver, CO",CID,"Cedar Rapids/Iowa City, IA"
DEN,"Denver, CO",SLN,"Salina, KS"
DEN,"Denver, CO",RDM,"Bend/Redmond, OR"
DEN,"Denver, CO",SGF,"Springfield, MO"
DEN,"Denver, CO",LBB,"Lubbock, TX"
DEN,"Denver, CO",GCC,"Gillette, WY"
DEN,"Denver, CO",GJT,"Grand Junction, CO"
DEN,"Denver, CO",CPR,"Casper, WY"
DEN,"Denver, CO",BFF,"Scottsbluff, NE"
DEN,"Denver, CO",MAF,"Midland/Odessa, TX"
DEN,"Denver, CO",IDA,"Idaho Falls, ID"
DEN,"Denver, CO",CYS,"Cheyenne, WY"
DEN,"Denver, CO",LWS,"Lewiston, ID"
DEN,"Denver, CO",LBF,"North Platte, NE"
DEN,"Denver, CO",GTF,"Great Falls, MT"
DEN,"Denver, CO",PSC,"Pasco/Kennewick/Richland, WA"
DEN,"Denver, CO",AMA,"Amarillo, TX"
DEN,"Denver, CO",ATW,"Appleton, WI"
DEN,"Denver, CO",FAR,"Fargo, ND"
DEN,"Denver, CO",RKS,"Rock Springs, WY"
DEN,"Denver, CO",MKE,"Milwaukee, WI"
DEN,"Denver, CO",ABQ,"Albuquerque, NM"
DEN,"Denver, CO",HLN,"Helena, MT"
DEN,"Denver, CO",PUB,"Pueblo, CO"
DEN,"Denver, CO",BIL,"Billings, MT"
DEN,"Denver, CO",JLN,"Joplin, MO"
DEN,"Denver, CO",SUX,"Sioux City, IA"
DEN,"Denver, CO",TUL,"Tulsa, OK"
DEN,"Denver, CO",COD,"Cody, WY"
DEN,"Denver, CO",BTM,"Butte, MT"
DEN,"Denver, CO",MOT,"Minot, ND"
DEN,"Denver, CO",BZN,"Bozeman, MT"
DEN,"Denver, CO",LAR,"Laramie, WY"
DEN,"Denver, CO",FOD,"Fort Dodge, IA"
DEN,"Denver, CO",DDC,"Dodge City, KS"
DEN,"Denver, CO",BUR,"Burbank, CA"
DEN,"Denver, CO",SGU,"St. George, UT"
DEN,"Denver, CO",MRY,"Monterey, CA"
DEN,"Denver, CO",EAR,"Kearney, NE"
DEN,"Denver, CO",SBP,"San Luis Obispo, CA"
DEN,"Denver, CO",HDN,"Hayden, CO"
DEN,"Denver, CO",TUS,"Tucson, AZ"
DEN,"Denver, CO",MCI,"Kansas City, MO"
DEN,"Denver, CO",ICT,"Wichita, KS"
DEN,"Denver, CO",FSD,"Sioux Falls, SD"
DEN,"Denver, CO",DSM,"Des Moines, IA"
DEN,"Denver, CO",OKC,"Oklahoma City, OK"
DEN,"Denver, CO",XNA,"Fayetteville, AR"
DEN,"Denver, CO",COS,"Colorado Springs, CO"
DEN,"Denver, CO",JMS,"Jamestown, ND"
DEN,"Denver, CO",CNY,"Moab, UT"
DEN,"Denver, CO",DRO,"Durango, CO"
DEN,"Denver, CO",BIS,"Bismarck/Mandan, ND"
DEN,"Denver, CO",HOB,"Hobbs, NM"
DEN,"Denver, CO",RIW,"Riverton/Lander, WY"
DEN,"Denver, CO",PRC,"Prescott, AZ"
DEN,"Denver, CO",SHR,"Sheridan, WY"
DEN,"Denver, CO",MLI,"Moline, IL"
DEN,"Denver, CO",XWA,"Williston, ND"
DEN,"Denver, CO",HYS,"Hays, KS"
DEN,"Denver, CO",MTJ,"Montrose/Delta, CO"
DEN,"Denver, CO",RAP,"Rapid City, SD"
DEN,"Denver, CO",ORD,"Chicago, IL"
DEN,"Denver, CO",STL,"St. Louis, MO"
DEN,"Denver, CO",BOI,"Boise, ID"
DEN,"Denver, CO",TYS,"Knoxville, TN"
DEN,"Denver, CO",IAH,"Houston, TX"
DEN,"Denver, CO",OMA,"Omaha, NE"
DEN,"Denver, CO",SLC,"Salt Lake City, UT"
DEN,"Denver, CO",JAC,"Jackson, WY"
DEN,"Denver, CO",GJT,"Grand Junction, CO"
DEN,"Denver, CO",MAF,"Midland/Odessa, TX"
DEN,"Denver, CO",IDA,"Idaho Falls, ID"
DEN,"Denver, CO",MKE,"Milwaukee, WI"
DEN,"Denver, CO",ABQ,"Albuquerque, NM"
DEN,"Denver, CO",MEM,"Memphis, TN"
DEN,"Denver, CO",BHM,"Birmingham, AL"
DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX"
DEN,"Denver, CO",BNA,"Nashville, TN"
DEN,"Denver, CO",TUL,"Tulsa, OK"
DEN,"Denver, CO",LAX,"Los Angeles, CA"
DEN,"Denver, CO",SJC,"San Jose, CA"
DEN,"Denver, CO",BUR,"Burbank, CA"
DEN,"Denver, CO",SFO,"San Francisco, CA"
DEN,"Denver, CO",AUS,"Austin, TX"
DEN,"Denver, CO",EAR,"Kearney, NE"
DEN,"Denver, CO",BIH,"Bishop, CA"
DEN,"Denver, CO",ASE,"Aspen, CO"
DEN,"Denver, CO",HDN,"Hayden, CO"
DEN,"Denver, CO",SDF,"Louisville, KY"
DEN,"Denver, CO",DSM,"Des Moines, IA"
DEN,"Denver, CO",OKC,"Oklahoma City, OK"
DEN,"Denver, CO",COS,"Colorado Springs, CO"
DEN,"Denver, CO",GUC,"Gunnison, CO"
DEN,"Denver, CO",DRO,"Durango, CO"
DEN,"Denver, CO",HSV,"Huntsville, AL"
DEN,"Denver, CO",SJC,"San Jose, CA"
DEN,"Denver, CO",CLE,"Cleveland, OH"
DEN,"Denver, CO",CVG,"Cincinnati, OH"
DEN,"Denver, CO",MIA,"Miami, FL"
DEN,"Denver, CO",ORD,"Chicago, IL"
DEN,"Denver, CO",STL,"St. Louis, MO"
DEN,"Denver, CO",FAT,"Fresno, CA"
DEN,"Denver, CO",ONT,"Ontario, CA"
DEN,"Denver, CO",SAT,"San Antonio, TX"
DEN,"Denver, CO",SMF,"Sacramento, CA"
DEN,"Denver, CO",IAH,"Houston, TX"
DEN,"Denver, CO",CMH,"Columbus, OH"
DEN,"Denver, CO",ELP,"El Paso, TX"
DEN,"Denver, CO",TPA,"Tampa, FL"
DEN,"Denver, CO",SLC,"Salt Lake City, UT"
DEN,"Denver, CO",LAS,"Las Vegas, NV"
DEN,"Denver, CO",OAK,"Oakland, CA"
DEN,"Denver, CO",SAN,"San Diego, CA"
DEN,"Denver, CO",BWI,"Baltimore, MD"
DEN,"Denver, CO",MSP,"Minneapolis, MN"
DEN,"Denver, CO",SEA,"Seattle, WA"
DEN,"Denver, CO",PDX,"Portland, OR"
DEN,"Denver, CO",CID,"Cedar Rapids/Iowa City, IA"
DEN,"Denver, CO",MKE,"Milwaukee, WI"
DEN,"Denver, CO",MSN,"Madison, WI"
DEN,"Denver, CO",CLT,"Charlotte, NC"
DEN,"Denver, CO",MEM,"Memphis, TN"
DEN,"Denver, CO",IND,"Indianapolis, IN"
DEN,"Denver, CO",RDU,"Raleigh/Durham, NC"
DEN,"Denver, CO",PHL,"Philadelphia, PA"
DEN,"Denver, CO",MSY,"New Orleans, LA"
DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX"
DEN,"Denver, CO",BNA,"Nashville, TN"
DEN,"Denver, CO",ATL,"Atlanta, GA"
DEN,"Denver, CO",PHX,"Phoenix, AZ"
DEN,"Denver, CO",BUR,"Burbank, CA"
DEN,"Denver, CO",SFO,"San Francisco, CA"
DEN,"Denver, CO",AUS,"Austin, TX"
DEN,"Denver, CO",SNA,"Santa Ana, CA"
DEN,"Denver, CO",MCI,"Kansas City, MO"
DEN,"Denver, CO",DCA,"Washington, DC"
DEN,"Denver, CO",RSW,"Fort Myers, FL"
DEN,"Denver, CO",PNS,"Pensacola, FL"
DEN,"Denver, CO",MCO,"Orlando, FL"
DEN,"Denver, CO",FSD,"Sioux Falls, SD"
DEN,"Denver, CO",OKC,"Oklahoma City, OK"
DEN,"Denver, CO",XNA,"Fayetteville, AR"
DEN,"Denver, CO",HRL,"Harlingen/San Benito, TX"
